match_id,tournament_id,year,home_team_id,away_team_id,y_win,away_hist_draws,away_hist_et_matches,away_hist_et_rate,away_hist_frac_tournaments_reached_ko,away_hist_goal_diff_per_match,away_hist_goal_diff_sum,away_hist_ko_matches,away_hist_ko_win_rate_shrunk,away_hist_ko_wins,away_hist_losses,away_hist_n_matches,away_hist_n_tournaments,away_hist_pso_matches,away_hist_pso_win_rate_shrunk,away_hist_pso_wins,away_hist_tournaments_with_ko_game,away_hist_win_rate_shrunk,away_hist_wins,away_mgr_consecutive_wc_with_team,away_mgr_n_prior_wc,away_rest_days_since_prev_match,away_squad_age_max,away_squad_age_mean,away_squad_age_median,away_squad_age_min,away_squad_age_std,away_squad_n_df,away_squad_n_fw,away_squad_n_gk,away_squad_n_mf,away_squad_n_players,away_squad_prior_wc_mean,away_squad_prior_wc_median,away_squad_share_any_prior_wc,away_squad_share_ge2_prior_wc,away_squad_squad_jaccard_vs_prev_wc,away_squad_squad_overlap_count_vs_prev_wc,away_squad_year,feat_away_hist_win_rate_vs_home_conf,feat_away_is_host_nation,feat_away_manager_local,feat_away_mgr_hist_win_rate_shrunk,feat_hist_goal_diff_per_match_diff,feat_hist_win_rate_diff,feat_home_hist_win_rate_vs_away_conf,feat_home_is_host_nation,feat_home_manager_local,feat_home_mgr_hist_win_rate_shrunk,feat_rest_days_diff,feat_same_confederation,feat_squad_age_mean_diff,feat_squad_prior_wc_mean_diff,group_stage,home_hist_draws,home_hist_et_matches,home_hist_et_rate,home_hist_frac_tournaments_reached_ko,home_hist_goal_diff_per_match,home_hist_goal_diff_sum,home_hist_ko_matches,home_hist_ko_win_rate_shrunk,home_hist_ko_wins,home_hist_losses,home_hist_n_matches,home_hist_n_tournaments,home_hist_pso_matches,home_hist_pso_win_rate_shrunk,home_hist_pso_wins,home_hist_tournaments_with_ko_game,home_hist_win_rate_shrunk,home_hist_wins,home_mgr_consecutive_wc_with_team,home_mgr_n_prior_wc,home_rest_days_since_prev_match,home_squad_age_max,home_squad_age_mean,home_squad_age_median,home_squad_age_min,home_squad_age_std,home_squad_n_df,home_squad_n_fw,home_squad_n_gk,home_squad_n_mf,home_squad_n_players,home_squad_prior_wc_mean,home_squad_prior_wc_median,home_squad_share_any_prior_wc,home_squad_share_ge2_prior_wc,home_squad_squad_jaccard_vs_prev_wc,home_squad_squad_overlap_count_vs_prev_wc,home_squad_year,knockout_stage,n_referees,replay,replayed,stadium_capacity,stage_name,group_name,home_elo_rating,home_elo_rank,away_elo_rating,away_elo_rank,feat_elo_rating_diff,home_fifa_rank,home_fifa_points,away_fifa_rank,away_fifa_points,feat_fifa_rank_diff,feat_fifa_points_diff,home_squad_size,home_squad_perf_coverage,home_squad_elo_coverage,home_squad_avg_club_strength,home_squad_max_club_strength,home_squad_min_club_strength,home_squad_pct_elite_clubs,home_squad_n_clubs,home_squad_n_leagues,home_squad_avg_minutes,home_squad_total_minutes,home_squad_avg_goals,home_squad_total_goals,home_squad_avg_assists,home_squad_avg_appearances,home_squad_fwd_avg_goals,home_squad_fwd_avg_assists,home_squad_fwd_avg_minutes,home_squad_fwd_avg_strength,home_squad_mid_avg_goals,home_squad_mid_avg_assists,home_squad_mid_avg_minutes,home_squad_mid_avg_strength,home_squad_def_avg_minutes,home_squad_def_avg_goals,home_squad_def_avg_strength,home_squad_gk_avg_clean_sheets,home_squad_gk_avg_minutes,home_squad_gk_avg_goals_conceded,home_squad_gk_avg_strength,away_squad_size,away_squad_perf_coverage,away_squad_elo_coverage,away_squad_avg_club_strength,away_squad_max_club_strength,away_squad_min_club_strength,away_squad_pct_elite_clubs,away_squad_n_clubs,away_squad_n_leagues,away_squad_avg_minutes,away_squad_total_minutes,away_squad_avg_goals,away_squad_total_goals,away_squad_avg_assists,away_squad_avg_appearances,away_squad_fwd_avg_goals,away_squad_fwd_avg_assists,away_squad_fwd_avg_minutes,away_squad_fwd_avg_strength,away_squad_mid_avg_goals,away_squad_mid_avg_assists,away_squad_mid_avg_minutes,away_squad_mid_avg_strength,away_squad_def_avg_minutes,away_squad_def_avg_goals,away_squad_def_avg_strength,away_squad_gk_avg_clean_sheets,away_squad_gk_avg_minutes,away_squad_gk_avg_goals_conceded,away_squad_gk_avg_strength,feat_squad_club_strength_diff,feat_squad_elite_pct_diff,feat_squad_goals_diff,feat_squad_assists_diff,feat_squad_minutes_diff,feat_squad_fwd_goals_diff,feat_squad_fwd_strength_diff,feat_squad_gk_clean_sheets_diff
M-2006-01,WC-2006,2006,T-31,T-17,1,1,0,0.0,0.5,-0.4285714285714285,-3.0,1,0.4,0,3,7,2,0,,0,1,0.4545454545454545,3,2,1,,35.58384668035592,27.867868940273183,28.438056125941134,21.440109514031484,4.03887256951932,8,5,3,7,23,0.391304347826087,0.0,0.391304347826087,0.0,0.2432432432432432,9.0,2006,0.5,0,1,0.4285714285714285,1.584126984126984,0.1781076066790353,0.6666666666666666,1,1,,,0,-1.025027527304097,0.1739130434782608,1,6,3,0.0666666666666666,1.0,1.1555555555555554,52.0,24,0.5714285714285714,14,10,45,9,0,,0,9,0.6326530612244898,29,1,0,,36.982888432580424,26.842841412969086,26.31895961670089,20.594113620807665,4.928347716731898,8,5,3,9,23,0.5652173913043478,0.0,0.4347826086956521,0.0869565217391304,0.0,0.0,2006,0,1,0,0,66000,group stage,Group A,1893.0,11.0,1732.0,34.0,161.0,19.0,696.0,26.0,683.0,7.0,13.0,17.0,0.9411764705882353,0.9411764705882353,1745.711219788125,1940.9510498,1555.8182373,0.125,11.0,4.0,1568.875,25102.0,5.75,92.0,4.25,37.875,14.0,8.0,583.0,1667.5982666,5.8,5.8,1464.0,1762.02841797,909.75,1.75,1764.6999511725,19.666666666666668,3937.0,37.666666666666664,1797.3481852233333,8.0,0.625,0.125,1489.5193536936365,1489.5193536936365,1489.5193536936365,0.0,1.0,1.0,28.2,141.0,0.2,1.0,0.2,11.2,1.0,1.0,141.0,,0.0,0.0,0.0,,0.0,0.0,1489.5193536936365,,,,,256.19186609448843,0.125,5.55,4.05,1540.675,13.0,,
M-2006-02,WC-2006,2006,T-57,T-25,0,0,0,0.0,0.0,-0.6666666666666666,-2.0,0,0.5,0,2,3,1,0,,0,0,0.4285714285714285,1,1,0,,34.69952087611225,26.916406273249407,27.071868583162217,20.10677618069815,3.691710968321284,8,6,3,8,23,0.391304347826087,0.0,0.391304347826087,0.0,0.2432432432432432,9.0,2006,0.5,0,0,,0.8809523809523809,0.0714285714285714,0.5,0,1,,,0,0.2281939112579323,-0.2173913043478261,1,5,1,0.0357142857142857,0.6666666666666666,0.2142857142857142,6.0,5,0.4444444444444444,2,9,28,6,0,,0,4,0.5,14,1,0,,33.210130047912386,27.14460018450734,27.405886379192335,21.14168377823409,3.024135573682397,7,5,3,8,23,0.1739130434782608,0.0,0.1739130434782608,0.0,0.0952380952380952,4.0,2006,0,1,0,0,52000,group stage,Group A,1847.0,15.0,1714.0,40.0,133.0,29.0,677.0,39.0,631.0,10.0,46.0,12.0,0.9166666666666666,0.8333333333333334,1510.5224120246944,1731.61279297,1301.23046875,0.0,10.0,6.0,1050.4545454545455,11555.0,2.272727272727273,25.0,0.45454545454545453,25.09090909090909,14.0,1.0,297.0,1338.86717987125,3.0,1.3333333333333333,358.6666666666667,1559.9878359198149,265.25,0.5,1504.5998967483335,15.0,3040.3333333333335,31.666666666666668,1524.19791412375,5.0,0.4,0.4,1617.1195096122729,1661.11169434,1573.1273248845455,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.5,,,,,0.0,0.0,0.0,1573.1273248845455,0.0,0.0,1661.11169434,,,,,-106.59709758757845,0.0,2.272727272727273,0.45454545454545453,1050.4545454545455,,,
M-2006-03,WC-2006,2006,T-28,T-55,1,7,1,0.0526315789473684,0.5,-0.4736842105263157,-9.0,3,0.2857142857142857,0,7,19,6,0,,0,3,0.3043478260869565,5,1,0,,35.30732375085558,27.15495640270214,26.412046543463383,18.223134839151268,4.252971199847399,8,5,3,8,23,0.6086956521739131,0.0,0.4347826086956521,0.1739130434782608,0.2777777777777778,10.0,2006,0.2777777777777778,0,0,,0.8440545808966862,0.1439280359820089,0.4444444444444444,0,0,0.4444444444444444,,0,-1.3714251703716904,0.0,1,13,7,0.1296296296296296,0.75,0.3703703703703703,20.0,16,0.45,7,17,54,12,2,0.3333333333333333,0,9,0.4482758620689655,24,2,1,,35.854893908282,25.78353123233045,25.50308008213552,17.232032854209447,4.28870280622066,7,4,3,9,23,0.6086956521739131,0.0,0.4347826086956521,0.1739130434782608,0.2432432432432432,9.0,2006,0,1,0,0,62000,group stage,Group B,1964.0,5.0,1777.0,26.0,187.0,10.0,741.0,33.0,653.0,23.0,88.0,23.0,1.0,1.0,1801.6851032641305,1940.9510498,1487.481740315,0.5217391304347826,13.0,6.0,1017.0869565217391,23393.0,5.565217391304348,128.0,4.173913043478261,35.78260869565217,10.5,5.0,325.25,1755.0563354475,8.0,7.111111111111111,1042.4444444444443,1830.0336507166664,564.2857142857143,2.0,1862.4326695028572,8.666666666666666,2920.0,35.666666666666664,1637.066830105,15.0,0.5333333333333333,0.26666666666666666,1720.6334381095833,1837.66638184,1530.6810913083332,0.0,4.0,4.0,704.75,5638.0,7.875,63.0,1.75,34.125,11.4,1.8,458.6,1812.20324707,3.0,5.0,896.0,1530.6810913083332,1224.5,1.5,1727.44616699,,,,,81.05166515454721,0.5217391304347826,-2.3097826086956523,2.4239130434782608,312.3369565217391,-0.9000000000000004,-57.146911622500056,
M-2006-04,WC-2006,2006,T-78,T-74,0,10,4,0.064516129032258,0.6428571428571429,0.3709677419354839,23.0,21,0.52,11,24,62,14,2,0.5,1,9,0.4545454545454545,28,2,1,,34.718685831622174,28.033806505371548,27.958932238193015,22.217659137577,3.8111651457602287,7,5,3,8,23,0.6521739130434783,1.0,0.5652173913043478,0.0869565217391304,0.0,0.0,2006,0.5,0,1,0.375,,0.0454545454545454,,0,0,0.25,,0,1.5145076332470315,-0.6521739130434783,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,1,,37.8507871321013,29.54831413861858,29.607118412046542,21.675564681724847,4.664621399689899,7,6,3,7,23,0.0,0.0,0.0,0.0,,,2006,0,1,0,0,65000,group stage,Group B,1578.0,66.0,1903.0,10.0,-325.0,47.0,604.0,16.0,709.0,-31.0,-105.0,11.0,0.9090909090909091,0.45454545454545453,1486.4357360823335,1655.12280273,1382.8001912433335,0.0,5.0,3.0,901.3,9013.0,5.2,52.0,1.0,32.8,9.0,0.2,333.4,1464.7518954794443,2.0,3.5,1608.5,1382.8001912433335,924.5,1.5,,7.0,2280.0,32.0,1655.12280273,11.0,1.0,0.7272727272727273,1728.839577993125,1972.82653809,1376.620310465,0.375,8.0,6.0,833.7272727272727,9171.0,4.454545454545454,49.0,3.3636363636363638,30.09090909090909,13.666666666666666,6.666666666666667,834.0,1855.4007568366667,2.0,3.25,857.25,1766.795898435,0.0,0.0,1677.15112305,7.0,3240.0,47.0,1376.620310465,-242.40384191079147,-0.375,0.745454545454546,-2.3636363636363638,67.5727272727272,-4.666666666666666,-390.64886135722236,0.0
M-2006-05,WC-2006,2006,T-03,T-42,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,3,,34.8829568788501,25.922447400529716,25.22381930184805,22.373716632443532,3.439769076067522,9,5,3,7,23,0.0,0.0,0.0,0.0,,,2006,,0,0,0.4705882352941176,,0.0223880597014924,0.5714285714285714,0,1,,,0,0.6645835193286267,0.2608695652173913,1,8,4,0.0634920634920634,0.5714285714285714,0.2698412698412698,17.0,16,0.6,10,22,63,14,3,0.7142857142857143,3,8,0.5223880597014925,33,1,0,,33.804243668720055,26.587030919858343,25.806981519507183,18.9596167008898,3.865632009222899,9,6,3,6,23,0.2608695652173913,0.0,0.1739130434782608,0.0869565217391304,0.0,0.0,2006,0,1,0,0,61000,group stage,Group C,1932.0,8.0,1697.0,43.0,235.0,9.0,746.0,32.0,669.0,23.0,77.0,20.0,0.8,0.75,1827.9187125654666,1972.82653809,1727.44616699,0.3333333333333333,12.0,6.0,824.75,13196.0,7.0,112.0,2.375,35.8125,14.25,3.25,506.0,1907.995910645,9.6,4.6,692.2,1807.523999024,766.3333333333334,1.1666666666666667,1795.4897802744,14.0,3113.0,31.0,1771.72814941,18.0,0.8888888888888888,0.8333333333333334,1708.9730265300334,1940.9510498,1502.8855712885002,0.2,14.0,10.0,637.8125,10205.0,3.5,56.0,2.6875,30.75,12.666666666666666,7.0,765.3333333333334,1880.526611325,1.75,2.0,269.0,1665.1235992445,809.125,1.375,1713.77027587925,0.0,360.0,6.0,1502.8855712885002,118.94568603543325,0.1333333333333333,3.5,-0.3125,186.9375,1.583333333333334,27.46929932000012,14.0
M-2006-06,WC-2006,2006,T-67,T-48,0,8,3,0.09375,1.0,0.625,20.0,11,0.3333333333333333,3,10,32,7,1,0.4,0,7,0.4444444444444444,14,1,0,,35.611225188227245,26.998898907835613,26.17659137577002,19.471594798083505,4.662383380953077,8,6,3,8,23,0.217391304347826,0.0,0.1739130434782608,0.0434782608695652,0.0975609756097561,4.0,2006,0.3636363636363636,0,1,,,0.0555555555555555,,0,1,,,1,1.2804809094426055,-0.1304347826086956,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,33.84531143052703,28.27937981727822,27.742642026009584,21.806981519507183,3.2463231103459407,8,4,3,8,23,0.0869565217391304,0.0,0.0869565217391304,0.0,,,2006,0,1,0,0,43000,group stage,Group C,1791.0,24.0,1994.0,2.0,-203.0,44.0,610.0,3.0,768.0,-41.0,-158.0,10.0,0.8,0.6,1786.884399415,1884.14453125,1662.46130371,0.3333333333333333,6.0,6.0,757.625,6061.0,3.125,25.0,1.875,27.25,6.0,2.0,198.0,,5.5,3.5,1059.0,1748.261413575,749.0,1.6,1806.195892335,,,,,17.0,1.0,1.0,1782.5253259994117,1972.82653809,1668.16442871,0.35294117647058826,10.0,9.0,1027.9411764705883,17475.0,7.176470588235294,122.0,4.117647058823529,39.411764705882355,16.2,6.4,683.8,1789.31899414,9.0,5.5,724.0,1759.523742675,490.0,0.8333333333333334,1792.3924357100002,20.5,4110.0,41.5,1781.942993165,4.359073415588227,-0.019607843137254943,-4.051470588235294,-2.242647058823529,-270.3161764705883,-10.2,,
M-2006-07,WC-2006,2006,T-46,T-38,1,1,0,0.0,0.0,-1.3333333333333333,-8.0,0,0.5,0,4,6,2,0,,0,0,0.3,1,1,0,,37.21834360027378,27.090081242746187,27.121149897330596,20.709103353867217,4.209382843543879,6,6,3,8,23,0.0869565217391304,0.0,0.0869565217391304,0.0,0.0465116279069767,2.0,2006,0.6,0,0,,0.1969696969696968,-0.0499999999999999,0.6666666666666666,0,0,,,0,0.7508853376186586,0.4347826086956521,1,9,2,0.0454545454545454,0.3846153846153846,-1.1363636363636365,-50.0,6,0.3,1,25,44,13,2,0.3333333333333333,0,5,0.25,10,1,0,,37.4757015742642,27.84096658036485,27.02258726899384,19.696098562628336,4.122953631439396,8,5,3,8,23,0.5217391304347826,0.0,0.391304347826087,0.1304347826086956,0.1794871794871795,7.0,2006,0,1,0,0,41000,group stage,Group D,1834.0,18.0,1797.0,23.0,37.0,4.0,758.0,23.0,686.0,19.0,72.0,19.0,0.9473684210526315,0.10526315789473684,1850.347229005,1972.82653809,1727.86791992,0.5,2.0,2.0,966.1666666666666,17391.0,3.7222222222222223,67.0,0.2222222222222222,29.833333333333332,10.666666666666666,0.3333333333333333,557.6666666666666,1727.86791992,4.125,0.0,882.25,,220.25,0.5,1972.82653809,6.0,2593.0,37.666666666666664,,5.0,1.0,1.0,1526.410677084,1720.52319336,1433.46371799,0.0,5.0,2.0,1034.8,5174.0,3.4,17.0,1.8,27.8,5.0,3.0,773.0,1611.13903809,3.0,1.5,1100.25,1505.2285868325,,,,,,,,323.9365519209998,0.5,0.3222222222222224,-1.577777777777778,-68.63333333333333,5.666666666666666,116.72888183000009,
M-2006-08,WC-2006,2006,T-02,T-58,0,0,0,0.0,0.3333333333333333,0.75,9.0,3,0.5714285714285714,2,5,12,3,0,,0,1,0.5625,7,1,1,,33.59342915811088,28.381394518346575,28.57494866529774,21.3388090349076,3.274771847571756,7,6,3,8,23,0.3043478260869565,0.0,0.3043478260869565,0.0,0.1794871794871795,7.0,2006,0.4,0,0,0.8181818181818182,,-0.0625,,0,1,,,0,-1.724012736958013,-0.3043478260869565,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,36.41889117043121,26.65738178138856,26.469541409993155,21.021218343600275,3.870147623618653,8,6,3,6,23,0.0,0.0,0.0,0.0,,,2006,0,1,0,0,45000,group stage,Group D,1547.0,70.0,1909.0,9.0,-362.0,57.0,581.0,7.0,750.0,-50.0,-169.0,9.0,0.7777777777777778,0.5555555555555556,1526.3747460947002,1700.64794922,1441.86987305,0.0,5.0,4.0,218.57142857142858,1530.0,2.4285714285714284,17.0,0.42857142857142855,13.285714285714286,4.0,0.75,167.75,1547.500964355875,,,,,286.3333333333333,0.3333333333333333,1441.86987305,,,,,19.0,0.8421052631578947,0.8421052631578947,1770.7646636975,1972.82653809,1643.68554688,0.3125,12.0,7.0,1076.375,17222.0,4.5,72.0,3.125,34.3125,10.2,4.8,575.8,1721.3559570339999,4.666666666666667,7.666666666666667,1093.3333333333333,1835.8453369166666,1175.1666666666667,1.1666666666666667,1803.3132934566665,13.0,2006.0,14.5,1699.01953125,-244.38991760279987,-0.3125,-2.0714285714285716,-2.6964285714285716,-857.8035714285714,-6.199999999999999,-173.85499267812474,
M-2006-09,WC-2006,2006,T-04,T-44,1,2,0,0.0,0.3333333333333333,-1.35,-27.0,2,0.3333333333333333,0,14,20,6,0,,0,2,0.25,4,1,0,,32.87337440109514,27.7493080974913,27.014373716632445,24.750171115674195,2.0068194700406825,8,5,3,8,23,0.6521739130434783,0.0,0.4782608695652174,0.1739130434782608,0.0,0.0,2006,,0,0,,-0.3999999999999999,-0.125,0.2857142857142857,0,0,0.5,,1,0.7369580097015138,-0.6521739130434783,1,3,0,0.0,0.0,-1.75,-21.0,0,0.5,0,9,12,4,0,,0,0,0.125,0,1,2,,33.81245722108145,28.486266107192815,27.71252566735113,20.84599589322382,3.406331894967094,9,6,3,9,23,0.0,0.0,0.0,0.0,0.0,0.0,2006,0,1,0,0,46000,group stage,Group F,1768.0,28.0,1812.0,21.0,-44.0,42.0,612.0,18.0,705.0,-24.0,-93.0,16.0,1.0,0.8125,1678.0948705418803,1864.28198242,1455.1146647144444,0.07692307692307693,11.0,7.0,1079.75,17276.0,3.9375,63.0,2.125,31.75,6.5,2.0,347.5,1666.7676323781482,5.4,4.2,1133.0,1643.184765624,1006.5,1.6666666666666667,1719.7963256825,17.0,4182.0,55.0,1719.82128906,14.0,0.7142857142857143,0.5,1637.2964869907144,1720.52319336,1502.8855712885002,0.0,7.0,7.0,296.8,2968.0,1.9,19.0,1.7,16.1,2.3333333333333335,0.6666666666666666,338.0,1632.2410380049998,2.5,2.75,198.25,1633.9636637366666,387.0,0.6666666666666666,1662.46130371,,,,,40.7983835511659,0.07692307692307693,2.0375,0.42500000000000004,782.95,4.166666666666666,34.52659437314833,
M-2006-10,WC-2006,2006,T-83,T-20,0,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,34.19301848049281,28.883730619289953,28.84599589322382,24.05475701574264,3.3640399396037814,7,5,3,8,23,0.0,0.0,0.0,0.0,,,2006,,0,1,,,0.0799999999999999,0.4642857142857143,0,1,0.4444444444444444,,0,-0.2354551676933702,0.782608695652174,1,3,1,0.0217391304347826,0.7272727272727273,0.7608695652173914,35.0,17,0.6190476190476191,11,16,46,11,1,0.6,1,8,0.58,27,2,1,,36.52566735112936,28.648275451596582,28.77754962354552,22.190280629705683,4.016459930678309,9,6,3,9,23,0.782608695652174,1.0,0.5217391304347826,0.1739130434782608,0.0,0.0,2006,0,1,0,0,52000,group stage,Group E,1840.0,17.0,,,,5.0,756.0,,,,,17.0,0.7647058823529411,0.5882352941176471,1615.3615115695,1881.11254883,1433.46371799,0.1,9.0,6.0,1321.6153846153845,17181.0,1.8461538461538463,24.0,0.6153846153846154,25.153846153846153,1.0,0.0,210.0,,3.6,0.8,745.4,1614.5656382225,1363.0,1.25,1575.0961823666667,11.333333333333334,2597.3333333333335,29.0,1656.688005235,17.0,0.8823529411764706,0.8235294117647058,1716.07609558125,1948.81884766,1535.78309631375,0.21428571428571427,12.0,7.0,1021.4,15321.0,3.6,54.0,3.6,31.866666666666667,6.0,3.0,419.6,1662.9001159675,4.0,7.75,1132.0,1758.8193969725,992.0,1.6,1679.4472473155001,22.0,3735.0,25.0,1940.9510498,-100.71458401175005,-0.11428571428571427,-1.7538461538461538,-2.9846153846153847,300.21538461538455,-5.0,,-10.666666666666666
