key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,birth_date,player_wikipedia_link,matches_played,starts,sub_appearances,goals,own_goals,penalty_goals,yellow_cards,red_cards,second_yellows,times_subbed_off,awards_won
8294,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-24930,Ricardo,João,1,goal keeper,GK,1970-01-07,"https://en.wikipedia.org/wiki/Jo%C3%A3o_Ricardo_(footballer,_born_1970)",3,3,0,0,0,0,1,0,0,0,
8295,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-66972,Airosa,Marco,2,defender,DF,1984-08-06,https://en.wikipedia.org/wiki/Marco_Airosa,0,0,0,0,0,0,0,0,0,0,
8296,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-61845,Jamba,not applicable,3,defender,DF,1977-07-10,https://en.wikipedia.org/wiki/Jamba_(footballer),3,3,0,0,0,0,1,0,0,0,
8297,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-06457,Lebo,Lebo,4,defender,DF,1977-05-29,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Lebo_Lebo,0,0,0,0,0,0,0,0,0,0,
8298,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-44205,Kali,not applicable,5,defender,DF,1978-10-11,https://en.wikipedia.org/wiki/Kali_(footballer),3,3,0,0,0,0,0,0,0,0,
8299,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-45235,Miloy,not applicable,6,midfielder,MF,1981-05-27,https://en.wikipedia.org/wiki/Miloy,3,1,2,0,0,0,0,0,0,0,
8300,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-14307,Figueiredo,Paulo,7,midfielder,MF,1972-11-28,https://en.wikipedia.org/wiki/Paulo_Figueiredo,3,3,0,0,0,0,0,0,0,3,
8301,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-88171,Macanga,André,8,midfielder,MF,1978-05-14,https://en.wikipedia.org/wiki/Andr%C3%A9_Macanga,2,2,0,0,0,0,2,0,1,0,
8302,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-86226,Mantorras,not applicable,9,forward,FW,1982-03-18,https://en.wikipedia.org/wiki/Mantorras,2,0,2,0,0,0,0,0,0,0,
8303,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-07482,Akwá,not applicable,10,forward,FW,1977-05-30,https://en.wikipedia.org/wiki/Akw%C3%A1,3,3,0,0,0,0,0,0,0,2,
8304,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-22865,Mateus,not applicable,11,forward,FW,1984-06-19,https://en.wikipedia.org/wiki/Mateus_Galiano_da_Costa,3,3,0,0,0,0,0,0,0,2,
8305,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-04803,Lamá,not applicable,12,goal keeper,GK,1981-02-01,https://en.wikipedia.org/wiki/Lam%C3%A1_(Angolan_footballer),0,0,0,0,0,0,0,0,0,0,
8306,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-13744,Nobre,Edson,13,midfielder,MF,1980-02-03,https://en.wikipedia.org/wiki/Edson_Nobre,1,0,1,0,0,0,0,0,0,0,
8307,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-74131,Mendonça,not applicable,14,midfielder,MF,1982-10-09,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Mendon%C3%A7a,3,3,0,0,0,0,1,0,0,0,
8308,WC-2006,2006 FIFA Men's World Cup,T-02,Angola,AGO,P-40794,Marques,Rui,15,defender,DF,1977-09-03,https://en.wikipedia.org/wiki/Rui_Marques,2,0,2,0,0,0,0,0,0,0,
