match_id,tournament_id,year,home_team_id,away_team_id,y_win,away_hist_draws,away_hist_et_matches,away_hist_et_rate,away_hist_frac_tournaments_reached_ko,away_hist_goal_diff_per_match,away_hist_goal_diff_sum,away_hist_ko_matches,away_hist_ko_win_rate_shrunk,away_hist_ko_wins,away_hist_losses,away_hist_n_matches,away_hist_n_tournaments,away_hist_pso_matches,away_hist_pso_win_rate_shrunk,away_hist_pso_wins,away_hist_tournaments_with_ko_game,away_hist_win_rate_shrunk,away_hist_wins,away_mgr_consecutive_wc_with_team,away_mgr_n_prior_wc,away_rest_days_since_prev_match,away_squad_age_max,away_squad_age_mean,away_squad_age_median,away_squad_age_min,away_squad_age_std,away_squad_n_df,away_squad_n_fw,away_squad_n_gk,away_squad_n_mf,away_squad_n_players,away_squad_prior_wc_mean,away_squad_prior_wc_median,away_squad_share_any_prior_wc,away_squad_share_ge2_prior_wc,away_squad_squad_jaccard_vs_prev_wc,away_squad_squad_overlap_count_vs_prev_wc,away_squad_year,feat_away_hist_win_rate_vs_home_conf,feat_away_is_host_nation,feat_away_manager_local,feat_away_mgr_hist_win_rate_shrunk,feat_hist_goal_diff_per_match_diff,feat_hist_win_rate_diff,feat_home_hist_win_rate_vs_away_conf,feat_home_is_host_nation,feat_home_manager_local,feat_home_mgr_hist_win_rate_shrunk,feat_rest_days_diff,feat_same_confederation,feat_squad_age_mean_diff,feat_squad_prior_wc_mean_diff,group_stage,home_hist_draws,home_hist_et_matches,home_hist_et_rate,home_hist_frac_tournaments_reached_ko,home_hist_goal_diff_per_match,home_hist_goal_diff_sum,home_hist_ko_matches,home_hist_ko_win_rate_shrunk,home_hist_ko_wins,home_hist_losses,home_hist_n_matches,home_hist_n_tournaments,home_hist_pso_matches,home_hist_pso_win_rate_shrunk,home_hist_pso_wins,home_hist_tournaments_with_ko_game,home_hist_win_rate_shrunk,home_hist_wins,home_mgr_consecutive_wc_with_team,home_mgr_n_prior_wc,home_rest_days_since_prev_match,home_squad_age_max,home_squad_age_mean,home_squad_age_median,home_squad_age_min,home_squad_age_std,home_squad_n_df,home_squad_n_fw,home_squad_n_gk,home_squad_n_mf,home_squad_n_players,home_squad_prior_wc_mean,home_squad_prior_wc_median,home_squad_share_any_prior_wc,home_squad_share_ge2_prior_wc,home_squad_squad_jaccard_vs_prev_wc,home_squad_squad_overlap_count_vs_prev_wc,home_squad_year,knockout_stage,n_referees,replay,replayed,stadium_capacity,stage_name,group_name,home_elo_rating,home_elo_rank,away_elo_rating,away_elo_rank,feat_elo_rating_diff,home_fifa_rank,home_fifa_points,away_fifa_rank,away_fifa_points,feat_fifa_rank_diff,feat_fifa_points_diff
M-1930-01,WC-1930,1930,T-30,T-46,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,33.57700205338809,24.702661352015134,23.529089664613277,18.236824093086927,3.688786457536245,3,8,2,4,17,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,1,,,0,-0.7052280871280736,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,27.550992470910337,23.997433264887064,23.60164271047228,22.012320328542096,1.6878073194648209,4,7,2,4,16,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,10000,group stage,Group 1,1538.0,38.0,1613.0,27.0,-75.0,,,,,,
M-1930-02,WC-1930,1930,T-83,T-06,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,38.17385352498289,25.501368925393564,24.049281314168375,19.392197125256672,4.9699728943752195,3,6,2,5,16,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,0,,,0,1.1093429158110908,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,32.84599589322382,26.610711841204655,26.203969883641346,20.687200547570157,4.029977723903584,3,9,1,5,16,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,20000,group stage,Group 4,1673.0,21.0,1636.0,25.0,37.0,,,,,,
M-1930-03,WC-1930,1930,T-87,T-09,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,30.25325119780972,24.857631759069132,25.43874058863792,18.04791238877481,2.9024877096695048,5,11,2,6,24,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,1,,,0,-2.789910214599189,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,30.527036276522928,22.067721544469943,21.472963723477072,18.54072553045859,2.80609012933219,4,7,2,4,17,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,20000,group stage,Group 2,1608.0,28.0,1929.0,5.0,-321.0,,,,,,
M-1930-04,WC-1930,1930,T-61,T-56,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,29.691991786447637,23.45185345293418,23.750855578370977,19.1047227926078,3.249332760470319,4,9,2,7,22,0.0,0.0,0.0,0.0,,,1930,,0,0,,,0.0,,0,1,,,0,-0.0863047420055949,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,29.67008898015058,23.365548710928586,22.362765229295004,18.55441478439425,3.117747595667083,4,6,2,3,15,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,10000,group stage,Group 3,1560.0,35.0,1542.0,37.0,18.0,,,,,,
M-1930-05,WC-1930,1930,T-03,T-30,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,2.0,27.550992470910337,23.997433264887064,23.60164271047228,22.012320328542096,1.6878073194648209,4,7,2,4,16,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,1,,,0,1.0077313172795677,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,31.3347022587269,25.005164582166632,24.748802190280628,20.432580424366872,3.1306874160746516,5,10,2,5,22,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,20000,group stage,Group 1,2084.0,1.0,1538.0,38.0,546.0,,,,,,
M-1930-06,WC-1930,1930,T-13,T-46,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,33.57700205338809,24.702661352015134,23.529089664613277,18.236824093086927,3.688786457536245,3,8,2,4,17,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,0,,,0,1.851032945329866,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,33.437371663244356,26.553694297345004,26.68583162217659,20.229979466119097,3.263705178807699,4,8,2,5,19,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,20000,group stage,Group 1,1578.0,32.0,1613.0,27.0,-35.0,,,,,,
M-1930-07,WC-1930,1930,T-87,T-07,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,32.30116358658453,25.167522245037645,24.07939767282683,18.321697467488026,4.104113514337008,3,6,2,6,17,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,1,,,0,-3.0998007005677017,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,30.527036276522928,22.067721544469943,21.472963723477072,18.54072553045859,2.80609012933219,4,7,2,4,17,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,20000,group stage,Group 2,1608.0,28.0,1258.0,61.0,350.0,,,,,,
M-1930-08,WC-1930,1930,T-83,T-55,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,29.49760438056126,24.446725986767053,24.00958247775496,19.800136892539356,3.401126771371348,4,10,2,6,22,0.0,0.0,0.0,0.0,,,1930,,0,0,,,0.0,,0,0,,,0,2.163985854437602,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,4.0,32.84599589322382,26.610711841204655,26.203969883641346,20.687200547570157,4.029977723903584,3,9,1,5,16,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,20000,group stage,Group 4,1673.0,21.0,1784.0,15.0,-111.0,,,,,,
M-1930-09,WC-1930,1930,T-84,T-56,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,4.0,29.691991786447637,23.45185345293418,23.750855578370977,19.1047227926078,3.249332760470319,4,9,2,7,22,0.0,0.0,0.0,0.0,,,1930,,0,0,,,0.0,,1,1,,,1,3.244182885812627,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,,31.6249144421629,26.696036338746808,25.653661875427787,22.05612594113621,2.7971231632856735,4,10,2,6,22,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 3,1963.0,3.0,1542.0,37.0,421.0,,,,,,
M-1930-10,WC-1930,1930,T-13,T-30,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,4.0,27.550992470910337,23.997433264887064,23.60164271047228,22.012320328542096,1.6878073194648209,4,7,2,4,16,0.0,0.0,0.0,0.0,,,1930,,0,1,,,0.0,,0,0,,-1.0,0,2.5562610324579396,0.0,1,0,0,,,,0.0,0,0.5,0,0,0,0,0,,0,0,0.5,0,1,0,3.0,33.437371663244356,26.553694297345004,26.68583162217659,20.229979466119097,3.263705178807699,4,8,2,5,19,0.0,0.0,0.0,0.0,,,1930,0,1,0,0,90000,group stage,Group 1,1578.0,32.0,1538.0,38.0,40.0,,,,,,
