match_id,tournament_id,team_id_home,team_name_home,team_code_home,goals_for_home,goals_against_home,goal_differential_home,win_home,draw_home,lose_home,extra_time_home,penalty_shootout_home,penalties_for_home,penalties_against_home,team_id_away,team_name_away,team_code_away,goals_for_away,goals_against_away,goal_differential_away,win_away,draw_away,lose_away,extra_time_away,penalty_shootout_away,penalties_for_away,penalties_against_away,year,stage_name,group_name,group_stage,knockout_stage,match_date,result_home
M-2006-01,WC-2006,T-31,Germany,DEU,4,2,2,1,0,0,0,0,0,0,T-17,Costa Rica,CRI,2,4,-2,0,0,1,0,0,0,0,2006,group stage,Group A,1,0,2006-06-09,W
M-2006-02,WC-2006,T-57,Poland,POL,0,2,-2,0,0,1,0,0,0,0,T-25,Ecuador,ECU,2,0,2,1,0,0,0,0,0,0,2006,group stage,Group A,1,0,2006-06-09,L
M-2006-03,WC-2006,T-28,England,ENG,1,0,1,1,0,0,0,0,0,0,T-55,Paraguay,PRY,0,1,-1,0,0,1,0,0,0,0,2006,group stage,Group B,1,0,2006-06-10,W
M-2006-04,WC-2006,T-78,Trinidad and Tobago,TTO,0,0,0,0,1,0,0,0,0,0,T-74,Sweden,SWE,0,0,0,0,1,0,0,0,0,0,2006,group stage,Group B,1,0,2006-06-10,D
M-2006-05,WC-2006,T-03,Argentina,ARG,2,1,1,1,0,0,0,0,0,0,T-42,Ivory Coast,CIV,1,2,-1,0,0,1,0,0,0,0,2006,group stage,Group C,1,0,2006-06-10,W
M-2006-06,WC-2006,T-67,Serbia and Montenegro,SCG,0,1,-1,0,0,1,0,0,0,0,T-48,Netherlands,NLD,1,0,1,1,0,0,0,0,0,0,2006,group stage,Group C,1,0,2006-06-11,L
M-2006-07,WC-2006,T-46,Mexico,MEX,3,1,2,1,0,0,0,0,0,0,T-38,Iran,IRN,1,3,-2,0,0,1,0,0,0,0,2006,group stage,Group D,1,0,2006-06-11,W
M-2006-08,WC-2006,T-02,Angola,AGO,0,1,-1,0,0,1,0,0,0,0,T-58,Portugal,PRT,1,0,1,1,0,0,0,0,0,0,2006,group stage,Group D,1,0,2006-06-11,L
M-2006-09,WC-2006,T-04,Australia,AUS,3,1,2,1,0,0,0,0,0,0,T-44,Japan,JPN,1,3,-2,0,0,1,0,0,0,0,2006,group stage,Group F,1,0,2006-06-12,W
M-2006-10,WC-2006,T-83,United States,USA,0,3,-3,0,0,1,0,0,0,0,T-20,Czech Republic,CZE,3,0,3,1,0,0,0,0,0,0,2006,group stage,Group E,1,0,2006-06-12,L
M-2006-11,WC-2006,T-41,Italy,ITA,2,0,2,1,0,0,0,0,0,0,T-32,Ghana,GHA,0,2,-2,0,0,1,0,0,0,0,2006,group stage,Group E,1,0,2006-06-12,W
M-2006-12,WC-2006,T-71,South Korea,KOR,2,1,1,1,0,0,0,0,0,0,T-77,Togo,TGO,1,2,-1,0,0,1,0,0,0,0,2006,group stage,Group G,1,0,2006-06-13,W
M-2006-13,WC-2006,T-30,France,FRA,0,0,0,0,1,0,0,0,0,0,T-75,Switzerland,CHE,0,0,0,0,1,0,0,0,0,0,2006,group stage,Group G,1,0,2006-06-13,D
