model_key,model_name,heldout_year,loto_train_years,uses_future_tournaments,future_train_years,past_train_years,forward_chaining_possible
baseline,Baseline,2006,"2010,2014",True,"2010,2014",,False
baseline,Baseline,2010,"2006,2014",True,2014,2006,True
baseline,Baseline,2014,"2006,2010",False,,"2006,2010",True
team_history,Team-history,1998,"2002,2006,2010,2014",True,"2002,2006,2010,2014",,False
team_history,Team-history,2002,"1998,2006,2010,2014",True,"2006,2010,2014",1998,True
team_history,Team-history,2006,"1998,2002,2010,2014",True,"2010,2014","1998,2002",True
team_history,Team-history,2010,"1998,2002,2006,2014",True,2014,"1998,2002,2006",True
team_history,Team-history,2014,"1998,2002,2006,2010",False,,"1998,2002,2006,2010",True
player_enriched,Player-enriched,2006,"2010,2014",True,"2010,2014",,False
player_enriched,Player-enriched,2010,"2006,2014",True,2014,2006,True
player_enriched,Player-enriched,2014,"2006,2010",False,,"2006,2010",True
