key_id,tm_player_id,wc_tournament,position_code,family_name,given_name,national_team,birth_date,match_method,match_score,total_appearances,total_goals,total_assists,total_own_goals,total_penalty_goals,total_yellow_cards,total_second_yellows,total_red_cards,total_goals_conceded,total_clean_sheets,num_competitions,home_league,club,league,goals_per_app,assists_per_app,yellows_per_app,goals_conceded_per_app,clean_sheet_rate,has_stats,has_domestic,market_value,mv_date,club_league_position,league_tier,club_points,club_gf,club_ga,club_gd,league_country,league_country_code,club_elo,goals_per_app_adj,assists_per_app_adj,yellows_per_app_adj,elo_weight,goals_elo_weighted,assists_elo_weighted,goals_per_app_elo_weighted,assists_per_app_elo_weighted,role,offensive_score,defensive_score,wc_appearances,wc_total_wins,wc_best_stage,wc_finals,wc_semis,defending_champion,squad_club_pairs,largest_club_block,largest_club_name
8294,197114,WC-2006,GK,Ricardo,João,Angola,1970-01-07,name_only,100.0,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,defensive,0.0,,0,0,0,0,0,0,0,1,FC Barreirense
8298,20178,WC-2006,DF,Kali,not applicable,Angola,1978-10-11,dob+name,100.0,13.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,Liga Portugal 2,FC Barreirense,Liga Portugal 2,0.0,0.0,0.3076923076923077,0.0,0.0,True,True,400000.0,2006-03-07,,,,,,,Portugal,POR,,0.0,0.0,0.3076923076923077,,,,,,defensive,0.0,400000.0,0,0,0,0,0,0,0,1,FC Barreirense
8301,13162,WC-2006,MF,Macanga,André,Angola,1978-05-14,dob+name,100.0,,,,,,,,,,,,,,,,,,,,False,False,1200000.0,2004-10-03,,,,,,,,,,,,,,,,,,offensive,0.0,,0,0,0,0,0,0,0,1,FC Barreirense
8302,13233,WC-2006,FW,Mantorras,not applicable,Angola,1982-03-18,dob+name,100.0,24.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,Liga Portugal,SL Benfica,Liga Portugal,0.125,0.041666666666666664,0.0,0.0,0.0,True,True,4250000.0,2005-10-27,3.0,1.0,67.0,51.0,29.0,22.0,Portugal,POR,1700.64794922,0.125,0.041666666666666664,0.0,0.9913616499458106,2.9740849498374318,0.9913616499458106,0.12392020624322632,0.04130673541440877,offensive,0.16522694165763507,,0,0,0,0,0,0,0,1,FC Barreirense
8304,37947,WC-2006,FW,Mateus,not applicable,Angola,1984-06-19,dob+name,100.0,5.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,Liga Portugal,Gil Vicente FC,Liga Portugal,0.8,0.4,0.2,0.0,0.0,True,True,800000.0,2006-05-23,12.0,1.0,40.0,37.0,42.0,-5.0,Portugal,POR,1503.80102539,0.47381864623243936,0.22424242424242422,0.13118279569892474,0.8766133322329235,3.506453328931694,1.753226664465847,0.4153557423479114,0.19657389874314038,offensive,0.6119296410910517,,0,0,0,0,0,0,0,1,FC Barreirense
8308,605,WC-2006,DF,Marques,Rui,Angola,1977-09-03,dob+name,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Championship,Hull City,Championship,0.0,0.0,0.0,0.0,0.0,True,True,500000.0,2005-02-10,18.0,2.0,52.0,49.0,55.0,-6.0,England,ENG,1441.86987305,0.027777777777777776,0.030864197530864196,0.13157894736842105,0.8405116985026815,0.0,0.0,0.02334754718063004,0.025941719089588932,defensive,0.04928926627021897,500000.0,0,0,0,0,0,0,0,1,FC Barreirense
8309,16093,WC-2006,FW,Flávio,not applicable,Angola,1979-12-20,name_only,100.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2. Bundesliga,FC Hansa Rostock,2. Bundesliga,0.0,0.0,0.16666666666666666,0.0,0.0,True,True,100000.0,2005-07-14,10.0,2.0,43.0,44.0,49.0,-5.0,Germany,GER,1455.74609375,0.19420498084291188,0.08522727272727272,0.12298387096774194,0.8486005878312892,0.0,0.0,0.16480246090305928,0.07232391373562123,offensive,0.23712637463868053,,0,0,0,0,0,0,0,1,FC Barreirense
8312,30302,WC-2006,FW,Buengo,Titi,Angola,1980-02-11,dob+lastname,100.0,28.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,Ligue 2,Clermont Foot Auvergne,Ligue 2,0.32142857142857145,0.0,0.0,0.0,0.0,True,True,150000.0,2005-04-09,18.0,2.0,38.0,35.0,59.0,-24.0,France,FRA,,0.32142857142857145,0.0,0.0,,,,,,offensive,0.0,,0,0,0,0,0,0,0,1,FC Barreirense
8316,24863,WC-2006,DF,Abreu,Marco,Angola,1974-12-08,dob+name,100.0,15.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,Liga Portugal 2,Portimonense SAD,Liga Portugal 2,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,True,True,300000.0,2006-05-23,,,,,,,Portugal,POR,,0.06666666666666667,0.0,0.13333333333333333,,,,,,defensive,0.0,300000.0,0,0,0,0,0,0,0,1,FC Barreirense
8320,6150,WC-2006,DF,Coloccini,Fabricio,Argentina,1982-01-22,dob+name,100.0,32.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,LaLiga,Deportivo de La Coruña,LaLiga,0.0,0.0,0.1875,0.0,0.0,True,True,8000000.0,2004-10-03,8.0,1.0,55.0,47.0,45.0,2.0,Spain,ESP,,0.0,0.0,0.1875,,,,,,defensive,0.0,8000000.0,0,0,0,0,0,0,5,3,Inter Milan
8321,7520,WC-2006,MF,Cambiasso,Esteban,Argentina,1980-08-18,dob+name,100.0,48.0,6.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,Serie A,Inter Milan,Serie A,0.125,0.08333333333333333,0.10416666666666667,0.0,0.0,True,True,19000000.0,2006-04-08,1.0,1.0,76.0,68.0,30.0,38.0,Italy,ITA,1834.06152344,0.125,0.08333333333333333,0.10416666666666667,1.0691326554761251,6.414795932856751,4.2765306219045005,0.13364158193451564,0.08909438795634375,offensive,0.2227359698908594,,0,0,0,0,0,0,5,3,Inter Milan
8322,5555,WC-2006,DF,Heinze,Gabriel,Argentina,1978-04-19,dob+name,100.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Premier League,Manchester United,Premier League,0.3333333333333333,0.0,0.0,0.0,0.0,True,True,16750000.0,2005-10-17,2.0,1.0,83.0,72.0,34.0,38.0,England,ENG,1881.11254883,0.14583333333333334,0.023148148148148147,0.09868421052631579,1.0965601910714058,2.1931203821428116,0.0,0.15991502786458003,0.02538333775628254,defensive,0.18529836562086258,16750000.0,0,0,0,0,0,0,5,3,Inter Milan
